,log_return,ad,wr,cmf,atr,rsi,cci,adx,slope,k_values,d_values,macd,signal,divergence,gdp,inflation,real_interest_rate,roe,eps,p/e,psei_returns
0,-0.004066226921259375,-492031.8181817927556629693144,0.1987577639751546435480317258,0.2554129746238792375032310138,1.958,56.9373,115.1749,15.0514,0.3445,77.8468,81.3181,0.624,0.2518,0.3721,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,77.52007941521524,-0.004559075782415851
1,-0.0011648224962932054,434060.6666666596170974419996,0.2111801242236029120970131499,0.2652651505736392468311312376,1.8717,56.5555,94.6249,14.3007,0.3673,81.1594,79.9862,0.6664,0.3347,0.3317,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,77.42983485245013,0.01211874632830958
2,-0.007017572658646535,914564.4444444426393413267102,0.2857142857142854620966332706,0.2402433003689698289517710743,1.8737,54.2068,57.8305,14.4088,0.3669,76.8116,78.6059,0.6442,0.3966,0.2476,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,76.88836747585958,-0.011081810051494388
3,-0.014184634991956413,-1370547.391304331886117763171,0.4347826086956523274194406179,0.2097737055930297355566696661,1.8363,49.7563,26.8528,14.5374,0.3233,68.9441,75.6384,0.5238,0.4221,0.1017,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,75.80543272267845,-0.016906802285192826
4,0.02236703014689621,3160410,0.2133333333333325754210818559,0.2775509068332843241973470943,1.8623,55.9264,58.2404,13.9653,0.2082,68.8723,71.5427,0.575,0.4527,0.1224,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,77.52007941521524,0.011145545307421133
5,-0.0046674530474951695,439933.3333333229136188593759,0.2919708029197082714834838758,0.3099401913693106702657064507,1.815,54.4115,59.6714,13.4341,0.177,68.6638,68.8267,0.5767,0.4775,0.0992,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,77.15910116415485,-0.016899595962288728
6,-0.012948974340803068,-1198008.620689630124540386310,0.4525547445255469909684677329,0.2565222699685740237544169988,1.7889,50.3706,25.4865,13.3763,0.101,68.0714,68.5358,0.4837,0.4787,0.005,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,76.16641097373883,0.0006355958851802281
7,-0.0035608346230091804,-1270395.000000090266993879594,0.4963503649635048913528548634,0.1920629875249648596489663856,1.6897,49.2954,1.0792,13.3562,0.0008,58.6375,65.1242,0.3814,0.4592,-0.0779,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,75.89567728544354,-0.008654043289597558
8,0.056629802753237465,5357610,0,0.2278826745400058868430989494,1.9619,63.1368,126.8448,14.2737,0.0414,68.3698,65.0262,0.6877,0.5049,0.1828,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,80.31766086093312,0.00574284591673793
9,-0.019285906886583343,325426.6666666602436234993714,0.3090909090909096076674441892,0.2096659293486052140653170119,2.0217,57.2933,116.5141,15.1257,0.0385,73.152,66.7198,0.7843,0.5608,0.2235,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,78.78350329392653,0.011429883217774812
10,-0.015003166592048735,-1411190,0.5454545454545454545454545455,0.2942977305967319385672446806,1.988,53.2356,82.9645,15.7616,0.0545,71.5152,71.0123,0.7474,0.5981,0.1492,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,77.61032397798031,0.0067529662078579375
11,0.03203935374461666,1874020,0.03636363636363688039471691644,0.2735772645574120078819418422,2.0639,59.8339,139.6735,16.9157,0.1691,70.303,71.6567,0.9332,0.6652,0.2681,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,80.13717173540293,0.0033500965520563506
12,-0.007914117055990643,1535746.153846142654222835005,0.1636363636363646698803429238,0.2780619591815999581486883085,2.045,57.6441,129.6936,17.9874,0.1999,75.1515,72.3232,1.0124,0.7346,0.2778,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,79.50545979604728,-0.008718884910538856
13,-0.018328119004300075,-806206.1538461384234327577563,0.4545454545454545454545454545,0.2313101141937065444333741136,2.0454,52.8804,59.143,18.1922,0.2125,78.1818,74.5455,0.9353,0.7747,0.1605,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,78.06154679180578,-0.00016274504426399
14,-0.05220639747945119,-1926973.333333338428019487765,0.9857142857142865263345551544,0.1550416501641098336397822348,2.2207,42.483,-140.1962,17.8029,0.0868,46.5368,66.6234,0.5131,0.7224,-0.2093,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,74.09078603014167,-0.01825059510272498
15,0.0,-1856630,0.9857142857142865263345551544,0.05406903806720826097514269535,2.1157,42.483,-199.5722,17.4415,-0.0255,19.1342,47.9509,0.1766,0.6133,-0.4367,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,74.09078603014167,0.0014655700931774064
16,0.002433091224641651,-1216700.000000028817244886644,0.9571428571428575488815632915,-0.02383530057608672163367138970,2.0146,43.0731,-161.6786,17.1058,-0.1356,2.381,22.684,-0.0732,0.476,-0.5491,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,74.27127515567186,0.006112658672355068
17,-0.009768087436207072,-2299010,1,-0.06285210656725553518537581237,1.9385,41.2501,-163.9383,17.147,-0.2954,1.9048,7.8066,-0.3318,0.3144,-0.6462,361489325230.731,2.6352,0.0,0.07650579805957082,1.1081,73.54931865355111,-0.013179270411682592
